"id","name","lon","lat"
"2585995",Station Radzymińska - Łomżyńska,21.0529,52.25965
"14997045",Station AVIS - FRANKFURT CENTER,8.61843,50.10214
"138053574",Station virtuell - Joachimstraße/Tucholsykstraße,13.392355,52.527283
"2623270",Station Kirche / Dorfplatz Stans,8.36584,46.95707
"27604520",Station P3-Milešovská - Ondříčkova,14.45115,50.07984
"348022",Station Hauptbahnhof,8.428981,49.324071
"25115748",Station Ritterstraße/Alte Jakobstraße,13.399595,52.504718
"161852679",Station virtuell - Lahnstraße/Neuköllnische Brücke,13.485973,52.494947
"8055483",Station Fairwater Green - St. Fagans Road,-3.240924,51.489667
"18547235",Station Bergisch Neukirchen-Stadthalle,7.032146,51.080052
"161850191",Station virtuell - Lahnstraße/Neuköllnische Brücke,13.4538,52.469201
"91754642",Station 45 JAUME III,2.643278,39.572528
"9410450",Station Internáty Hliny,18.737795,49.211937
"71514513",Station Zachgasse,16.488298,48.217262
"27641708",Station Čechovy sady - dětské hřiště,17.243637,49.59453
"9542207",Station Bahnhof Werder,12.92571,52.3926
"176071655",Station JIH - Odborářská,18.253154,49.791319
"44420048",Station Rödelheim,8.6076,50.12398
"142242716",Station Euskirchen - Bushaltestelle Barentstr,6.834161,50.689185
"62180718",Station Bahnhof Neustadt (Hansastraße),13.739605,51.065888
"53699259",Station Friedrich-Ebert-Allee,8.24563,50.076204
"139341531",Station virtuell - Alt-Moabit/Jagowstraße,13.334371,52.524453
"54648",Station Wr. Neustadt / Museum St. Peter an der Sperr,16.2443,47.815928
"6269638",Station Port Dundas,-4.254817,55.877822
"165051735",Station virtuell - M Zechliner Straße (Landsberger Allee),13.480639,52.535312
"41631853",Station Lískovec obchod,18.32709,49.71064
"15434682",Station Lorettobad ,7.840984,47.984584
"45253",Station Perchtoldsdorf / Marktplatz,16.265924,48.118248
"69832536",Station Karl-Liebknecht-Straße,12.373781,51.32203
"184845950",Station Jablonec 1,15.192375,50.701024
"179501410",Station Heven,7.309337,51.441691
"314025",Station AKAFÖ Studidorf,7.249619,51.449688
"113577",Station Oespel S-Bahnhof,7.3841,51.488163
"138048763",Station virtuell - Landsberger Allee/Richard-Sorge-Straße,13.444097,52.52512
"29751706",Station K.H. Máchy - Masarykovo nám.,15.823992,50.211807
"34611831",Station 86185 Bergheim Kirche,10.82109,48.317588
"116235207",Station virtuell - EDEKA Stepaniak,13.334527,52.488033
"53125842",Station Mestský úrad,18.08407,48.30573
"50445",Station Essen Hauptbahnhof Nordausgang,7.01462,51.452158
"28183567","Station Emmen, Josef Meyer AG / Seetalstrasse 185",8.312659,47.093135
"27578912",Station KP - hřbitov,18.125545,49.849426
"12500399",Station Komandorska / Sanocka,17.026775,51.094653
"16339118",Station al. Armii Krajowej / Bardzka,17.04824,51.08283
"150600",Station Goethestr. Ecke Jägerstr. Kölpinsee 5575,14.020703,54.037941
"60671495",Station VIA SANT'ORSOLA,9.66589,45.6938
"219291286",Station Kirmes II,6.760706,51.227453
"36749134",Station Haslacher Straße / Eschholzstraße,7.832758,47.992481
"52519",Station Kulturforum,7.955748,48.468938
"13385686",Station P-Bohemka/nám. Družby,18.181034,49.83617
"33279011",Station ORLEN-Stacja Targowa,19.709561,52.55976
"44242682",Station Písek - Čechova/ V Portyči (zídka u parčíku),14.144055,49.311778
"13364623",Station SL-Loděnice,18.297442,49.832524
"73022123",Station Kaufland - Hněvotínská (hlavní vchod),17.225018,49.584341
"205052985",Station Semilasso,16.593222,49.22709
"165535256","Station P8 - Čumpelíkova, u polikliniky",14.454446,50.124671
"407022",Station San Gwann Centre,14.476343,35.908348
